symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
Ank2,ENSMUSG00000032826,ENSMUSG00000032826,1395.132017,-0.793161585,0.999848702,,Ank2 | ENSMUSG00000032826,8.726868372,10.27000303,10.46813117,10.83985718,10.89789564,10.62473985,312,912,6799,1299,1904,1563
Srcin1,ENSMUSG00000038453,ENSMUSG00000038453,879.3491626,0.227173971,0.999848702,,Srcin1 | ENSMUSG00000038453,8.841297496,10.06172291,10.37708338,8.964549016,9.505861562,10.24815202,338,789,6382,352,723,1203
Itpr2,ENSMUSG00000030287,ENSMUSG00000030287,2200.546224,-1.136664553,0.999848702,,Itpr2 | ENSMUSG00000030287,8.577394282,11.27867752,10.31444031,9.609450465,12.20248021,11.81105702,281,1838,6110,552,4709,3562
Gng12,ENSMUSG00000036402,ENSMUSG00000036402,1094.326515,0.47789538,0.999848702,,Gng12 | ENSMUSG00000036402,9.905486074,10.57065756,10.40299305,2.768872505,10.58125074,10.24934683,710,1124,6498,2,1528,1204
Ncl,ENSMUSG00000026234,ENSMUSG00000026234,794.2897402,-0.335074739,0.999848702,,Ncl | ENSMUSG00000026234,8.862299408,8.465656794,10.34471954,8.260652223,10.52752715,9.793926853,343,259,6240,215,1472,877
Nrdc,ENSMUSG00000053510,ENSMUSG00000053510,754.9485866,-0.567192072,0.999848702,,Nrdc | ENSMUSG00000053510,8.266818758,7.891568657,10.33500634,8.319058092,10.21072146,10.24336286,226,173,6198,224,1181,1199
Ktn1,ENSMUSG00000021843,ENSMUSG00000021843,1431.723937,1.303667096,0.999848702,,Ktn1 | ENSMUSG00000021843,11.31650437,11.09595791,10.43733542,2,10.26800721,10.28939254,1893,1619,6655,0,1229,1238
Map7,ENSMUSG00000019996,ENSMUSG00000019996,633.5566469,1.37495777,0.999848702,,Map7 | ENSMUSG00000019996,9.689814045,9.374840857,10.30570491,8.897984784,8.921890807,6.752036383,611,489,6073,336,481,103
Tmem30a,ENSMUSG00000032328,ENSMUSG00000032328,383.5298999,2.583345299,0.889094616,,Tmem30a | ENSMUSG00000032328,9.064310175,7.849980934,10.25043037,2,8.379428048,2,395,168,5844,0,329,0
Sez6l,ENSMUSG00000058153,ENSMUSG00000058153,438.8516258,1.002731335,0.999848702,,Sez6l | ENSMUSG00000058153,2,9.061657412,10.26463156,2,8.108574013,9.24931061,0,393,5902,0,272,600
