"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000020079","0","1","0","3","2","1","7","0","5","2","1","0","2","1","0","4","0","3","0","2","3","1","0","1","1","1","0","1","1","3","5","0","0","1","4","5","3","4","2","4","0","0","0","7","6","1","7","9","0","0","1","0","0"
"ENSMUSG00000020080","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0"
"ENSMUSG00000020081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020083","0","3","1","6","0","0","12","0","2","2","1","0","1","3","0","1","0","1","1","0","0","4","1","0","0","0","4","0","2","3","5","0","0","1","3","0","4","1","1","2","1","1","1","2","3","1","5","7","0","0","1","0","0"
"ENSMUSG00000020085","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0"
"ENSMUSG00000020087","0","1","0","9","0","1","12","1","1","2","4","0","4","0","2","1","1","3","1","1","1","2","1","0","0","1","1","1","3","2","6","0","1","5","3","4","8","7","4","1","3","0","3","3","1","1","9","10","1","1","0","1","1"
"ENSMUSG00000020088","2","9","1","27","2","1","16","4","12","4","9","0","14","1","0","17","2","4","10","1","3","1","0","0","3","6","6","3","10","10","22","0","0","14","7","13","12","11","18","0","4","3","12","16","20","4","30","19","6","0","0","1","3"
"ENSMUSG00000020089","2","17","1","40","0","0","8","9","29","9","15","3","26","2","1","31","1","15","28","0","5","3","0","0","3","4","3","2","20","21","29","0","1","18","19","22","18","22","33","1","11","0","12","13","34","12","50","54","3","1","1","0","1"
"ENSMUSG00000020090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020091","0","1","0","19","0","2","22","4","3","2","3","0","2","2","1","7","0","8","2","1","0","1","0","0","0","3","2","2","4","7","11","0","0","8","5","8","6","7","8","1","3","2","6","10","9","9","16","26","0","0","1","1","1"
"ENSMUSG00000020092","0","0","0","2","0","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"ENSMUSG00000020096","0","0","0","0","0","0","22","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","5","1","1","3","4","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0"
"ENSMUSG00000020097","0","2","0","3","2","1","12","2","0","2","1","0","0","2","0","1","0","3","4","0","0","2","0","1","0","1","1","2","4","0","9","0","1","1","0","1","2","1","4","3","1","0","2","3","5","1","2","5","1","0","1","0","0"
