"Gene_ID","Symbol","iDEP_baseMean","iDEP_log2FC","iDEP_adjPval","Loupe_Average","Loupe_log2FC","Loupe_Pval","log2FC_diff","abs_log2FC_diff"
"ENSMUSG00000028256","Odf2l","1.197126325","0.628577076","NA","1.5907264666720968","0.1895675264058998","0.9379256887693137","0.4390095495941002","0.4390095495941002"
"ENSMUSG00000028261","Ndufaf4","1.990125221","-0.574503249","NA","1.3395591298291343","-1.0203754080970544","0.29092733148287636","0.44587215909705435","0.44587215909705435"
"ENSMUSG00000028266","Lmo4","0.553327122","-0.400657387","NA","1.1721142386004924","1.1209804411484874","0.2797235098863392","-1.5216378281484872","1.5216378281484872"
"ENSMUSG00000028271","Gtf2b","2.170110463","-0.666312541","NA","1.9256162491293805","-0.8063742570197469","0.3930241914231476","0.14006171601974682","0.14006171601974682"
"ENSMUSG00000028274","Rngtt","0.841881599","0.497998287","NA","1.0046693473718507","0.18583158549845502","0.977807416324423","0.31216670150154496","0.31216670150154496"
"ENSMUSG00000028277","Ube2j1","1.941302312","-0.223510049","NA","3.014008042115552","0.3630016692338678","0.6803421173005577","-0.5865117182338677","0.5865117182338677"
"ENSMUSG00000028278","Rragd","0.263796431","-0.291013163","NA","1.0883917929861715","1.9028002710989538","0.0317972700418464","-2.1938134340989537","2.1938134340989537"
"ENSMUSG00000028284","Map3k7","0.599304454","-0.109630364","NA","1.0883917929861715","0.17344786104262291","0.9867200657578704","-0.2830782250426229","0.2830782250426229"
"ENSMUSG00000028289","Epha7","2.342800905","-0.816439894","NA","2.176783585972343","-0.8324769729144825","0.73763494845321","0.016037078914482472","0.016037078914482472"
"ENSMUSG00000028291","Akirin2","4.537009009","-0.208912426","NA","6.362905866688387","0.059412617796593015","0.9550202449130674","-0.26832504379659305","0.26832504379659305"
"ENSMUSG00000028292","Rars2","1.152865536","-0.108136198","NA","1.0046693473718507","-0.4156190380112699","0.9266263316443663","0.3074828400112699","0.3074828400112699"
"ENSMUSG00000028293","Slc35a1","1.698431037","-0.324077788","NA","1.7581713579007385","0.03462015634530613","1","-0.3586979443453061","0.3586979443453061"
"ENSMUSG00000028295","Smim8","0.824600349","-0.658382825","NA","1.0046693473718507","-0.3655783555116745","0.9712061025518252","-0.2928044694883255","0.2928044694883255"
