FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000040943,Tet2,1.0883917929861715,0.7244630298404414,0.5685605107684951,0.6492465920548034,-0.7244630298404414,0.5685605107684951
ENSMUSG00000028943,Espn,1.0883917929861715,0.7244630298404414,0.681387524228424,0.6492465920548034,-0.7244630298404414,0.6813875242284192
ENSMUSG00000036764,Dnajc12,1.0883917929861715,0.7244630298404414,0.7032404163242159,0.6492465920548034,-0.7244630298404414,0.7032404163242159
ENSMUSG00000038128,Camk4,15.656097329878007,0.723036031661894,0.1910452168095358,8.919411514657657,-0.723036031661894,0.1910452168095358
ENSMUSG00000039205,Ciz1,3.2651753789585145,0.7227864520330577,0.3085831263144857,1.885906767397286,-0.7227864520330577,0.3085831263144857
ENSMUSG00000001120,Pcbp3,3.2651753789585145,0.7227864520330577,0.3597436542488896,1.885906767397286,-0.7227864520330577,0.3597436542488896
ENSMUSG00000027239,Mdk,2.093061140358022,0.7218844857386648,0.4037947346217127,1.2212019231507016,-0.7218844857386648,0.4037947346217127
ENSMUSG00000048222,Mfap1b,1.0046693473718507,0.7218844857386648,0.6232802634009813,0.6028718354794603,-0.7218844857386648,0.6232802634009813
ENSMUSG00000028382,Ptbp3,1.0046693473718507,0.7218844857386648,0.7037882782658049,0.6028718354794603,-0.7218844857386648,0.7037882782658049
ENSMUSG00000034110,Kctd7,1.0046693473718507,0.7218844857386648,0.6215181098124297,0.6028718354794603,-0.7218844857386648,0.6215181098124297
ENSMUSG00000030168,Adipor2,2.093061140358022,0.7218844857386648,0.4771523367280336,1.2212019231507016,-0.7218844857386648,0.4771523367280336
ENSMUSG00000060733,Ipmk,1.0046693473718507,0.7218844857386648,0.585814380574951,0.6028718354794603,-0.7218844857386648,0.585814380574951
ENSMUSG00000022621,Rabl2,3.097730487729873,0.720935656345116,0.2358333372184259,1.7931572542465999,-0.720935656345116,0.2358333372184259
ENSMUSG00000029389,Ddx55,2.0093386947437013,0.7204425115647585,0.39104716534868017,1.1748271665753585,-0.7204425115647585,0.39104716534868017
ENSMUSG00000022555,Dgat1,2.0093386947437013,0.7204425115647585,0.5266584773359622,1.1748271665753585,-0.7204425115647585,0.5266584773359622
ENSMUSG00000020893,Per1,6.111738529845424,0.7199362139491434,0.4074487909033389,3.509023247534295,-0.7199362139491434,0.4074487909033389
ENSMUSG00000002748,Baz1b,4.018677389487403,0.7196779672750644,0.254444835635374,2.318737828767155,-0.7196779672750644,0.254444835635374
ENSMUSG00000024063,Lbh,1.9256162491293805,0.7188819975771414,0.585814380574951,1.1284524100000155,-0.7188819975771414,0.585814380574951
ENSMUSG00000028821,Syf2,4.855901845630611,0.7182212716480803,0.12998944937495066,2.7979436467123673,-0.7182212716480803,0.12998944937495066
ENSMUSG00000018476,Kdm6b,4.855901845630611,0.7182212716480803,0.27170088105736223,2.7979436467123673,-0.7182212716480803,0.27170088105736245
