gene_id,gene,ctl1,ctl2,ctl3,dta1,dta2,dta3
ENSMUSG00000053291,Rab4b,16,52,47,301,307,12
ENSMUSG00000053293,Pom121,6,17,29,96,84,4
ENSMUSG00000053297,AI854703,0,6,4,17,44,0
ENSMUSG00000053303,Slc22a26,0,0,0,0,0,0
ENSMUSG00000053310,Nrgn,0,0,1,6,15,0
ENSMUSG00000053318,Slamf8,0,0,0,0,0,0
ENSMUSG00000053329,Gatd3a,10,24,33,134,121,4
ENSMUSG00000053333,Dis3l2,1,3,9,32,46,1
ENSMUSG00000053334,Ficd,3,6,6,45,36,3
ENSMUSG00000053338,Tarm1,0,0,0,0,0,0
ENSMUSG00000053368,Rxfp2,0,0,0,0,0,0
ENSMUSG00000053375,Atp6v1e2,0,0,0,0,0,0
ENSMUSG00000053388,Trim50,0,0,0,0,0,0
ENSMUSG00000053389,Tas2r107,0,0,0,0,0,0
ENSMUSG00000053390,Zfp952,1,2,7,23,18,0
ENSMUSG00000053395,Cacng8,0,0,27,24,27,2
ENSMUSG00000053398,Phgdh,0,2,10,15,9,0
ENSMUSG00000053399,Adamts18,0,0,13,27,32,1
ENSMUSG00000053411,Cbx7,0,3,5,21,21,1
ENSMUSG00000053414,Hunk,2,23,12,125,136,4
ENSMUSG00000053436,Mapk14,5,19,39,144,130,6
ENSMUSG00000053441,Adamts19,0,0,2,0,0,0
ENSMUSG00000053453,Thoc7,21,42,30,302,282,7
ENSMUSG00000053460,Ggcx,1,19,17,49,51,4
ENSMUSG00000053461,Hhipl2,0,0,0,2,0,0
ENSMUSG00000053465,Hs6st3,0,5,8,26,69,0
ENSMUSG00000053469,Tg,0,0,0,4,1,0
ENSMUSG00000053470,Kdm3a,1,2,11,34,40,2
ENSMUSG00000053475,Tnfaip6,0,0,1,1,0,0
ENSMUSG00000053477,Tcf4,0,3,76,48,82,0
ENSMUSG00000053483,Usp21,2,3,9,37,31,2
ENSMUSG00000053490,Trim60,0,0,0,0,0,0
ENSMUSG00000053508,Gtsf2,0,1,1,14,4,0
ENSMUSG00000053519,Kcnip1,39,186,37,859,590,32
ENSMUSG00000053522,Lgals7,0,0,0,0,0,0
ENSMUSG00000053536,Cstf2t,14,19,27,130,157,5
ENSMUSG00000053550,Shisa7,1,1,6,12,31,0
ENSMUSG00000053552,Ebf4,0,0,9,6,12,2
ENSMUSG00000053559,Smagp,0,0,0,0,0,0
ENSMUSG00000053560,Ier2,2,4,6,15,18,0
ENSMUSG00000053565,Eif3k,8,36,40,250,231,5
ENSMUSG00000053580,Tanc2,1,1,11,43,48,2
ENSMUSG00000053581,Zfand2a,1,5,14,71,62,2
ENSMUSG00000053593,Fate1,0,0,0,0,0,0
ENSMUSG00000053600,Zfp472,0,1,0,3,2,0
ENSMUSG00000053604,Rpia,0,2,7,22,17,2
ENSMUSG00000053617,Sh3pxd2a,6,19,12,94,124,1
ENSMUSG00000053624,Gykl1,0,0,0,0,0,0
ENSMUSG00000053626,Tll1,0,3,6,5,20,0
ENSMUSG00000053641,Dennd4a,0,1,9,19,18,0
ENSMUSG00000053644,Aldh7a1,7,18,24,111,103,4
ENSMUSG00000053646,Plxnb1,0,0,29,16,15,0
ENSMUSG00000053647,Gper1,0,0,0,0,1,0
