Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000054659,Pm20d2,0.05038883253258661,-0.8945154957443187,0.0000000963562040004448,0.09371057115439371,0.8945154957443187,0.0000000963562040004667
ENSMUSG00000054679,Srsf12,0.10683011678891495,-1.6388690844109526,0.0000000000000000000003758703796368774,0.33276330534958853,1.6388690844109526,0.0000000000000000000003758703796368774
ENSMUSG00000040128,Pnrc1,0.6570530007654354,0.3510010965326279,0.029679279277305386,0.5151567568065754,-0.3510010965326279,0.029679279277305386
ENSMUSG00000028274,Rngtt,0.15160088408510972,0.2589814969208133,0.12219645835894453,0.12669780946537404,-0.2589814969208133,0.12219645835894453
ENSMUSG00000044288,Cnr1,0.0919740989215489,-2.62900240891971,0.00000000000000000000000000000000000000000000000067054485847398876,0.5691066728079797,2.62900240891971,0.0000000000000000000000000000000000000000000000006705448584732646
ENSMUSG00000028264,Spaca1,0.0023746461308460356,1.5444924403699396,0.0000038355420850639205,0.0008100168594567564,-1.5444924403699396,0.0000038355420850639205
ENSMUSG00000028291,Akirin2,0.7020843999540402,0.3529431341200764,0.028474290779790665,0.5497221314127042,-0.3529431341200764,0.028474290779790665
ENSMUSG00000040044,Orc3,0.32964142570024907,0.14642258464905122,0.39537737002422335,0.2978348197374963,-0.14642258464905122,0.39537737002422335
ENSMUSG00000028292,Rars2,0.16286597365705005,-0.14400733932995147,0.42579921381874436,0.17997736668653827,0.14400733932995147,0.42579921381874436
ENSMUSG00000028293,Slc35a1,0.2735766097329573,-0.1151117465844238,0.5338220075393663,0.2963125466740345,0.1151117465844238,0.5338220075393663
ENSMUSG00000028294,Cfap206,0.019923860219781372,2.392993389838808,0.000000000000000000000000000000003910776847331325,0.003784733946772086,-2.392993389838808,0.000000000000000000000000000000003910776847331325
ENSMUSG00000028295,Smim8,0.11867438834398847,0.06819990528726727,0.7181685684285619,0.11320683901304254,-0.06819990528726727,0.7181685684285619
ENSMUSG00000039967,Zfp292,0.4397149615947098,0.19195770434059778,0.2590698129571549,0.384939563744941,-0.19195770434059778,0.2590698129571549
ENSMUSG00000028298,Cga,0.00005791819831331794,-0.9479039416151434,0.31721753426121174,0.00015362388713835036,0.9479039416151434,0.31721753426121174
ENSMUSG00000073910,Mob3b,0.7844440779555782,3.803459552234746,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000562792946167507,0.05617047946094955,-3.803459552234746,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000562792946167571
ENSMUSG00000042993,Ifnk,0.00008687729746997692,3.0520960583848566,0.07880531209986978,0,-3.0520960583848566,0.07880531209986978
ENSMUSG00000028300,C9orf72,0.10752513516867476,-0.6026267176587696,0.0003032836834715166,0.16330219202806642,0.6026267176587696,0.00030328368347155106
ENSMUSG00000045083,Lingo2,0.2389994453399065,-0.5017116169462901,0.0025248916235482747,0.3384194575578642,0.5017116169462901,0.002524891623548701
ENSMUSG00000028405,Aco1,0.8139533999962137,0.9653942628709145,0.00000000018052173207691147,0.41685143484595283,-0.9653942628709145,0.00000000018052173207691147
ENSMUSG00000040296,Ddx58,0.08015878646563203,2.406427869143459,0.00000000000000000000000000000000000000000000000000000033940687449936895,0.015111004171245007,-2.406427869143459,0.00000000000000000000000000000000000000000000000000000033940687449936895
