gene_id,gene,dta1,dta2,dta3,dta4,dta5,dta6,dta7,dta8,dta9,dta10,dta11,dta12,dta13,dta14,dta15,dta16,dta17,dta18,dta19,dta20,dta21,dta22,dta23,dta24,dta25,dta26,dta27,dta28,dta29,dta30,dta31,dta32,dta33,dta34,dta35,dta36,dta37,dta38,dta39,dta40,dta41,dta42,dta43,dta44,dta45,dta46,,dta1,dta2,dta3
ENSMUSG00000000416,Cttnbp2,16,41,29,47,1,35,4,3,43,6,50,39,7,26,21,2,1,18,36,2,0,47,61,67,0,1,62,19,54,34,56,57,15,17,3,21,51,75,37,89,107,3,1,40,5,2,,86,112,41
ENSMUSG00000000420,Galnt1,6,11,14,16,0,13,7,1,24,2,11,16,12,2,4,0,0,4,4,1,6,6,19,24,2,0,17,11,7,9,17,21,3,7,1,13,19,8,15,35,19,3,2,5,1,3,,31,23,7
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000439,Mkrn2,3,7,0,4,0,2,2,0,7,1,0,1,0,1,1,1,0,1,2,0,0,2,1,4,1,0,3,4,8,1,6,3,0,2,0,2,3,4,0,5,12,3,0,1,1,0,,10,4,1
ENSMUSG00000000440,Pparg,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,1,0,0
ENSMUSG00000000441,Raf1,8,18,12,12,0,12,4,2,17,0,4,18,2,4,6,1,1,3,6,5,3,11,17,23,0,4,7,11,19,13,17,23,3,9,0,6,13,34,12,27,53,3,1,5,0,1,,38,46,6
ENSMUSG00000000489,Pdgfb,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,4,0,0,2,0,3,1,0,0,0,0,,2,2,0
ENSMUSG00000000530,Acvrl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000532,Acvr1b,1,4,5,4,0,2,0,0,7,2,7,7,1,0,0,0,0,1,5,1,2,5,5,5,0,1,5,2,4,5,2,7,0,10,0,10,6,11,4,4,24,1,0,1,2,1,,10,15,1
ENSMUSG00000000538,Tom1l2,1,10,7,6,2,6,1,1,11,0,6,14,1,3,3,0,0,0,2,1,4,6,11,15,1,1,14,8,14,12,11,29,5,3,0,8,8,24,7,28,36,2,0,3,1,2,,18,31,3
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000552,Zfp385a,18,81,21,30,5,42,10,5,53,5,32,39,12,8,6,3,1,8,11,2,6,57,38,82,2,3,45,40,70,78,31,127,13,24,3,27,81,127,45,88,93,10,7,5,4,3,,120,172,12
ENSMUSG00000000555,Itga5,1,0,0,1,0,1,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,6,0,2,0,0,2,0,1,6,0,6,3,2,0,11,0,30,1,0,1,0,0,0,0,0,,1,31,0
ENSMUSG00000000560,Gabra2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,12,0,0,0,0,0,,1,2,0
ENSMUSG00000000561,Wdr77,7,12,3,6,0,10,3,0,7,2,2,11,2,5,1,0,1,2,2,1,2,7,9,14,1,0,9,4,12,20,14,19,4,3,1,5,13,15,7,20,29,3,0,2,0,0,,22,22,2
ENSMUSG00000000562,Adora3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000567,Sox9,2,0,0,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,0,0,2,9,0,0,1,0,0,1,27,1,0,1,0,0,1,1,0,0,6,0,0,0,0,0,,2,1,0
ENSMUSG00000000568,Hnrnpd,8,10,8,9,3,9,3,2,4,0,4,4,1,0,1,1,4,1,2,6,4,4,8,14,1,1,5,8,19,9,11,19,2,7,2,7,8,16,8,17,30,0,1,3,1,1,,26,24,4
ENSMUSG00000000581,C1d,2,7,2,10,0,6,1,0,8,1,1,5,2,1,0,0,0,0,2,5,0,3,3,9,0,1,3,5,6,22,13,15,0,2,2,4,7,12,4,15,15,2,0,0,0,2,,11,16,0
ENSMUSG00000000594,Gm2a,8,35,20,14,1,11,2,3,25,1,26,13,9,3,5,5,4,1,8,5,3,21,35,36,1,1,15,12,20,44,31,42,5,17,6,30,25,34,30,60,42,4,3,4,1,7,,63,64,7
ENSMUSG00000000600,Krit1,1,5,1,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,1,4,5,0,0,1,4,0,2,4,1,1,0,0,2,4,3,1,4,8,0,1,1,0,0,,7,4,2
ENSMUSG00000000605,Clcn4,8,31,10,20,1,12,5,6,15,0,13,22,5,3,3,3,3,1,3,10,5,13,19,42,1,2,25,18,19,22,31,29,3,9,2,25,25,22,7,41,63,0,1,4,3,4,,49,29,5
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000627,Sema4f,3,5,4,4,0,1,4,0,7,0,4,8,0,1,6,1,1,5,0,5,2,1,10,11,0,1,3,10,2,3,4,8,0,1,0,6,3,6,2,4,26,0,2,1,1,1,,12,8,3
ENSMUSG00000000628,Hk2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,3,0,0
ENSMUSG00000000631,Myo18a,10,21,11,19,0,13,3,2,10,1,22,17,3,5,6,3,1,2,3,2,2,13,11,27,2,0,14,17,20,26,53,34,4,16,3,18,23,25,11,47,35,2,1,2,1,1,,42,36,3
ENSMUSG00000000632,Sez6,1,2,15,6,0,2,6,0,0,0,0,2,4,7,6,1,0,2,0,14,12,0,11,24,1,2,0,1,4,26,24,2,3,29,5,33,9,10,2,2,191,0,0,1,0,6,,18,12,1
ENSMUSG00000000673,Haao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000682,Cd52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000686,Abhd15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000690,Hoxb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000693,Loxl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
