gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000019998,Stx7,0,4,0,19,1,1,34
ENSMUSG00000020000,Moxd1,0,0,0,0,0,0,0
ENSMUSG00000020003,Pex7,1,0,0,5,0,0,7
ENSMUSG00000020007,Il20ra,0,0,0,1,0,0,0
ENSMUSG00000020009,Ifngr1,0,0,0,4,0,1,5
ENSMUSG00000020010,Vnn3,0,0,0,0,0,0,0
ENSMUSG00000020014,Cfap54,0,0,0,0,0,0,1
ENSMUSG00000020015,Cdk17,0,1,0,5,0,0,26
ENSMUSG00000020017,Hal,0,0,0,0,0,0,0
ENSMUSG00000020018,Snrpf,1,5,2,25,3,1,27
ENSMUSG00000020019,Ntn4,0,0,0,0,0,0,10
ENSMUSG00000020020,Usp44,0,0,0,0,0,0,0
ENSMUSG00000020021,Fgd6,0,0,0,0,0,0,3
ENSMUSG00000020022,Ndufa12,0,5,2,48,1,2,18
ENSMUSG00000020023,Tmcc3,0,5,1,22,0,0,5
ENSMUSG00000020024,Cep83,0,1,0,5,3,4,6
ENSMUSG00000020027,Socs2,0,2,0,2,0,1,7
ENSMUSG00000020029,Nudt4,0,0,0,24,2,0,25
ENSMUSG00000020032,Nuak1,0,3,0,9,1,0,33
ENSMUSG00000020034,Tcp11l2,2,7,0,18,0,1,19
ENSMUSG00000020037,Rfx4,0,0,0,0,0,0,1
ENSMUSG00000020038,Cry1,1,2,0,11,1,0,9
ENSMUSG00000020044,Timp3,0,0,0,0,2,0,21
ENSMUSG00000020048,Hsp90b1,4,14,2,39,3,3,27
ENSMUSG00000020051,Pah,0,0,0,0,0,0,0
ENSMUSG00000020052,Ascl1,0,0,0,1,0,0,2
ENSMUSG00000020053,Igf1,0,8,0,30,2,0,4
ENSMUSG00000020056,Washc3,1,3,0,8,0,0,5
ENSMUSG00000020057,Dram1,0,0,0,0,0,0,0
ENSMUSG00000020059,Sycp3,0,0,0,0,0,0,0
ENSMUSG00000020061,Mybpc1,0,0,0,0,0,1,26
ENSMUSG00000020062,Slc5a8,0,0,0,0,0,0,0
ENSMUSG00000020063,Sirt1,0,0,0,4,0,0,6
ENSMUSG00000020064,Herc4,0,0,0,3,2,1,5
ENSMUSG00000020067,Mypn,0,0,0,0,0,0,0
ENSMUSG00000020069,Hnrnph3,0,2,1,3,2,1,20
ENSMUSG00000020070,Rufy2,0,4,0,8,1,2,30
ENSMUSG00000020072,Pbld2,0,0,0,0,0,0,0
ENSMUSG00000020074,Ccar1,1,2,0,21,5,5,18
ENSMUSG00000020075,Ddx21,0,2,0,14,3,0,18
ENSMUSG00000020076,Ddx50,0,1,1,17,2,2,18
ENSMUSG00000020077,Srgn,0,0,0,0,0,0,1
ENSMUSG00000020078,Vps26a,1,1,0,4,0,0,10
ENSMUSG00000020079,Supv3l1,0,1,0,3,2,1,7
ENSMUSG00000020080,Hkdc1,0,0,0,0,0,0,1
ENSMUSG00000020081,Tacr2,0,0,0,0,0,0,0
ENSMUSG00000020083,Fam241b,0,3,1,6,0,0,12
ENSMUSG00000020085,Aifm2,0,0,0,0,1,0,0
ENSMUSG00000020087,Tysnd1,0,1,0,9,0,1,12
ENSMUSG00000020088,Sar1a,2,9,1,27,2,1,16
ENSMUSG00000020089,Ppa1,2,17,1,40,0,0,8
ENSMUSG00000020090,Npffr1,0,0,0,0,0,0,0
ENSMUSG00000020091,Eif4ebp2,0,1,0,19,0,2,22
ENSMUSG00000020092,Pald1,0,0,0,2,0,0,1
ENSMUSG00000020096,Tbata,0,0,0,0,0,0,22
ENSMUSG00000020097,Sgpl1,0,2,0,3,2,1,12
ENSMUSG00000020098,Pcbd1,0,0,0,0,0,0,3
ENSMUSG00000020099,Unc5b,0,0,0,0,3,0,24
ENSMUSG00000020100,Slc29a3,0,0,0,5,0,0,6
ENSMUSG00000020101,Vsir,0,0,0,0,0,0,1
ENSMUSG00000020102,Slc16a7,0,0,0,0,0,0,3
ENSMUSG00000020105,Lrig3,0,0,0,1,0,0,1
ENSMUSG00000020107,Anapc16,0,5,1,24,0,1,26
ENSMUSG00000020108,Ddit4,1,1,0,22,0,0,29
ENSMUSG00000020109,Dnajb12,0,8,1,31,2,1,27
ENSMUSG00000020111,Micu1,0,5,0,6,0,1,31
ENSMUSG00000020114,Cand1,0,10,0,43,0,0,24
ENSMUSG00000020115,Tbk1,1,4,0,10,1,1,15
ENSMUSG00000020116,Pno1,0,2,1,9,1,0,5
ENSMUSG00000020120,Plek,0,1,0,3,2,0,2
ENSMUSG00000020121,Srgap1,1,8,0,39,4,6,11
ENSMUSG00000020122,Egfr,0,0,0,0,0,0,5
ENSMUSG00000020123,Avpr1a,0,0,0,0,0,0,0
ENSMUSG00000020124,Usp15,0,12,3,32,11,7,21
ENSMUSG00000020125,Elane,0,0,0,0,0,0,0
ENSMUSG00000020128,Vps54,0,1,0,3,1,0,7
ENSMUSG00000020130,Tbc1d15,0,1,0,8,2,0,12
ENSMUSG00000020131,Pcsk4,0,0,0,0,0,0,0
ENSMUSG00000020132,Rab21,1,8,2,41,1,1,40
ENSMUSG00000020134,Peli1,0,1,0,3,0,0,17
ENSMUSG00000020135,Apc2,0,3,1,17,0,1,51
ENSMUSG00000020137,Thap2,0,0,0,2,2,0,5
ENSMUSG00000020140,Lgr5,0,0,1,0,0,0,4
ENSMUSG00000020142,Slc1a4,0,1,0,3,0,0,17
