Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000054737,Zfp182,0.051259735171909286,0.046169031158889595,0.9784680208692436,0.05395896409069618,0.0957095020654588,0.8404270309554571,0.03335347980378702,-0.6237901596874096,0.7229918521620906
ENSMUSG00000037167,Spaca5,0.00017340911763162817,1.3958967704271341,0.21110233530711264,0.000043410268777712136,-0.9944767960567376,0.41202101530210006,0,0.010635188427357889,1
ENSMUSG00000031079,Zfp300,0.006908619246444066,0.7380435094096427,0.03541929493695313,0.004341026877771213,-0.6259295590213503,0.14613533978075807,0.0032539980296377585,-0.9415076970336074,0.4727822927873821
ENSMUSG00000062814,Ssxa1,0.00009710910587371177,0.017385147173403226,1,0.00008682053755542427,0.38403482719699333,1,0,0.678059849340487,1
ENSMUSG00000068122,Agtr2,0.0018450730116005237,0.8019566735867212,0.07110853257000296,0.0013023080633313639,-0.4005366992163246,0.5101293038991723,0,-3.4487964302099403,0.015153848561666721
ENSMUSG00000031089,Slc6a14,0.000027745458821060507,-1.5675773535477528,0.38436548955506566,0.00008682053755542427,1.9689973279181494,0.31253576015719137,0,1.9581677685332224,1
ENSMUSG00000036782,Klhl13,0.013303947504698512,-1.5943912495470878,0.00000000009168286348833408,0.04245524286460246,1.5960509197531083,0.0000000036068833212866366,0.03156378088748626,0.872509035070034,0.1134398619664242
ENSMUSG00000036769,Wdr44,0.06239953688856508,0.5144038281297174,0.10221929481252884,0.04388778173426697,-0.4878399813689347,0.19720120002472877,0.04279007408973652,-0.47894926421654027,0.8658769621745724
ENSMUSG00000095754,Spin2f,0.000006936364705265127,-2.3045429477139567,0.4273364550561123,0.000043410268777712136,2.7059629220843533,0.3882788664913013,0,3.18056018986967,1
ENSMUSG00000118405,FQ976806.1,0.000020809094115795378,-0.3045429477139585,1,0,0.7059629220843551,1,0,2.765522690590826,1
ENSMUSG00000101500,Btbd35f12,0.000013872729410530254,-0.7195804469928024,1,0,1.121000421363199,1,0,3.18056018986967,1
ENSMUSG00000095659,Spin2g,0.000013872729410530254,-0.7195804469928024,1,0,1.121000421363199,1,0,3.18056018986967,1
ENSMUSG00000031093,Dock11,0.0339118870440412,0.20456148098717364,0.6344102061823386,0.03229723997061783,-0.04180653673194179,1,0.018547788768935224,-0.8489311068397294,0.5115088537566354
ENSMUSG00000017057,Il13ra1,0.009260046881528945,-2.361707822850777,0.0000000000000000000000017364347780124097,0.029171700618622554,1.0969077045860693,0.00008093893328820113,0.11665582936251363,3.2818191704631055,0.0000000000000000003319048209789283
ENSMUSG00000036699,Zcchc12,0.012194129151856092,0.6180158246304295,0.07134946527406205,0.009637079668652094,-0.2810397373867728,0.5812914582168422,0.0014642991133369913,-2.864562379411299,0.0029220255469085622
ENSMUSG00000016239,Lonrf3,0.03185872309128272,-1.8749868459494392,0.0000000000000003704650432702805,0.12541226649881035,1.8822981748397045,0.00000000000006000627348488483,0.0847666486720636,0.9240276273826153,0.08126718818942989
ENSMUSG00000006373,Pgrmc1,0.40600623529328367,0.41172042367997097,0.19893850601332183,0.2977944438151052,-0.43638788446555155,0.24969625313540816,0.33288399843194266,-0.2320525742435604,0.9777974613435496
ENSMUSG00000059708,Akap17b,0.05255683537179386,0.795155917403318,0.01167732925717348,0.03494526636605827,-0.5417761638737044,0.17635065804419692,0.012690592315587258,-1.9639474753307908,0.027155714643208206
ENSMUSG00000037636,Slc25a43,0.0008809183175686711,-1.7963960440436342,0.00000002990327218418919,0.00325577015832841,1.804143316023259,0.0000002746231587302923,0.002277798620746431,1.0070773690141692,0.24651445802047964
ENSMUSG00000016319,Slc25a5,0.04847825292509797,-0.10427064517565654,0.774411646070444,0.05018227070703522,0.03782260998854792,0.9733067387015503,0.059222764139407205,0.28539924535479066,0.6592909460730514
ENSMUSG00000016308,Ube2a,0.08474156760422405,-0.017841269566331697,1,0.0801353561636566,-0.09535373877851283,0.8997462883377996,0.10689383527360036,0.3477471091826634,0.5838332337348565
ENSMUSG00000044149,Nkrf,0.03587487825563124,0.9688474472012869,0.0019849898453805975,0.019057107993415628,-0.8757169946475001,0.01805130004180472,0.015456490640779353,-1.1038141023079167,0.3064182636051882
ENSMUSG00000050379,Sept6,0.05757182705370055,1.0545305891871743,0.0006533825023647677,0.03099493190728646,-0.8475522560742865,0.021512266364019914,0.015293790739297465,-1.80273347739793,0.04527404703831874
ENSMUSG00000036572,Upf3b,0.15678265143310766,0.38990968250736735,0.22824482461580536,0.13083855009602438,-0.23051290175755845,0.5988127988673371,0.07760785300686053,-0.9784807296976292,0.38819606835171516
ENSMUSG00000016409,Nkap,0.031088786608998296,0.04927280389199584,1,0.030560829219509342,-0.017123083075645695,1,0.027984383054884723,-0.14053373613588782,1
ENSMUSG00000036551,Akap14,0.00025664549409480967,-1.7004716240450986,0.0014419146553196103,0.001041846450665091,2.1018915984154933,0.00012507386029053243,0,-1.1886736197960488,0.6304505869262951
ENSMUSG00000016427,Ndufa1,0.16891435330261637,0.322922903825702,0.33197472848402376,0.1245006508544784,-0.44166497877920596,0.24546309888301265,0.17441429438858386,0.10052460464221813,0.993781400271546
ENSMUSG00000036537,Rnf113a1,0.013054238375308967,0.7477258496093553,0.024736963091199986,0.007466566229766487,-0.779017088882175,0.04814820930488917,0.008785794680021948,-0.458040274453559,0.8941675026395635
ENSMUSG00000071773,Rhox1,0.000013872729410530254,-0.7195804469928024,1,0,1.121000421363199,1,0,3.18056018986967,1
ENSMUSG00000079636,Rhox3c,0.000013872729410530254,-0.7195804469928024,1,0,1.121000421363199,1,0,3.18056018986967,1
ENSMUSG00000079635,Rhox4c,0.000013872729410530254,-0.7195804469928024,1,0,1.121000421363199,1,0,3.18056018986967,1
ENSMUSG00000095698,Rhox2d,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000095741,Rhox2f,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
